year,month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,9E,Endeavor Air Inc.,ABE,44.0,3.0,1.63,0.0,0.12,0.0,1.25,0.0,1.0,89.0,56.0,0.0,3.0,0.0,30.0
2020,12,9E,Endeavor Air Inc.,ABY,90.0,1.0,0.96,0.0,0.04,0.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0,0.0,0.0
2020,12,9E,Endeavor Air Inc.,AEX,88.0,8.0,5.75,0.0,1.6,0.0,0.65,0.0,1.0,338.0,265.0,0.0,45.0,0.0,28.0
2020,12,9E,Endeavor Air Inc.,AGS,184.0,9.0,4.17,0.0,1.83,0.0,3.0,0.0,0.0,508.0,192.0,0.0,92.0,0.0,224.0
2020,12,9E,Endeavor Air Inc.,ALB,76.0,11.0,4.78,0.0,5.22,0.0,1.0,1.0,0.0,692.0,398.0,0.0,178.0,0.0,116.0
2020,12,9E,Endeavor Air Inc.,ATL,5985.0,5.0,142.89,11.96,161.37,1.0,127.79,5.0,0.0,30756.0,16390.0,1509.0,5060.0,16.0,7781.0
2020,12,9E,Endeavor Air Inc.,ATW,142.0,14.0,5.36,0.0,7.7,0.0,0.94,1.0,0.0,436.0,162.0,0.0,182.0,0.0,92.0
2020,12,9E,Endeavor Air Inc.,AVL,147.0,10.0,6.04,1.0,1.0,0.0,1.96,0.0,1.0,1070.0,838.0,141.0,24.0,0.0,67.0
2020,12,9E,Endeavor Air Inc.,AZO,84.0,4.0,6.24,0.96,6.8,0.0,0.0,1.0,1.0,2006.0,1164.0,619.0,223.0,0.0,0.0
2020,12,9E,Endeavor Air Inc.,BDL,150.0,19.0,5.7,0.0,12.07,0.0,1.23,3.0,0.0,846.0,423.0,0.0,389.0,0.0,34.0
2020,12,9E,Endeavor Air Inc.,BHM,123.0,9.0,6.82,0.0,1.18,0.0,1.0,0.0,0.0,572.0,527.0,0.0,26.0,0.0,19.0
2020,12,9E,Endeavor Air Inc.,BIS,25.0,7.0,0.34,0.0,3.54,0.0,3.11,2.0,0.0,278.0,13.0,0.0,93.0,0.0,172.0
2020,12,9E,Endeavor Air Inc.,BMI,59.0,5.0,15.0,0.0,1.48,0.0,0.37,0.0,0.0,218.0,155.0,0.0,47.0,0.0,16.0
2020,12,9E,Endeavor Air Inc.,BNA,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
2020,12,9E,Endeavor Air Inc.,BOS,21.0,3.0,1.0,0.71,1.29,0.0,0.0,0.0,0.0,158.0,17.0,81.0,60.0,0.0,0.0
2020,12,9E,Endeavor Air Inc.,BQK,90.0,6.0,3.8,0.0,1.63,0.0,0.57,0.0,0.0,374.0,249.0,0.0,88.0,0.0,37.0
2020,12,9E,Endeavor Air Inc.,BTR,115.0,5.0,4.82,0.0,0.18,0.0,0.0,0.0,1.0,244.0,236.0,0.0,8.0,0.0,0.0
